"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)"
329.440582, 158.642578, 115.136719, 49.107143
314.178833, 129.990234, 114.873047, 33.761162
354.630280, 155.039063, 166.552734, 31.808035
315.440735, 132.011719, 115.224609, 34.319195
333.898682, 150.468750, 131.748047, 39.341518
331.532104, 145.986328, 131.748047, 61.104912
330.330658, 143.261719, 132.187500, 77.008926
Fillin, -176.132813, 143.349609, 79.799110
326.329224, 148.974609, 118.916016, 39.062500
324.315613, 143.701172, 120.322266, 36.272320
328.381378, 155.830078, 115.927734, 41.573662
285.625763, 113.291016, 77.343750, 59.151787
Fillin, -176.396484, 176.660156, 73.381699
358.818085, 155.566406, 173.935547, 104.352676
370.563873, 164.707031, -172.968750, 144.252228
257.216400, 112.324219, 24.433594, 21.484375
Fillin, 142.734375, 11.777344, 56.919643
326.836548, 150.644531, 118.212891, 60.825893
364.514771, 170.419922, 169.892578, 53.292412
326.026978, 137.812500, 129.462891, 62.779018
Fillin, -166.025391, 171.123047, 87.890625
394.046875, -177.802734, -145.986328, 97.098213
Fillin, 82.705078, 41.660156, 56.082588
273.823120, 122.343750, 45.878906, 23.158482
Fillin, 161.630859, 90.351563, 16.462053
324.746765, 135.175781, 129.726563, 18.694197
353.808319, 157.851563, 162.158203, 35.435268
340.055511, 134.208984, 159.697266, 58.035713
346.440002, 155.830078, 150.205078, 84.263390
353.620850, 150.556641, 169.101563, 81.473213
303.301239, 122.519531, 101.689453, 0.000000
284.734406, 130.605469, 58.359375, 8.370536
261.698669, 107.490234, 37.705078, 26.227678
294.349701, 125.947266, 81.210938, 28.738840
336.300476, 151.699219, 135.087891, 41.573662
