C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\267
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
265.863129, 113.378906, 19.072266, 128.906250, 0.044490, 0.044487
265.559387, 109.687500, 22.236328, 412.667419, 0.044696, 0.044693
251.040024, 97.734375, 7.998047, 131.138397, 0.044707, 0.044708
262.974182, 123.662109, 3.603516, 618.582581, 0.044894, 0.044898
261.755585, 114.169922, 10.898438, 393.694183, 0.044914, 0.044920
261.675751, 112.060547, 12.832031, 181.919647, 0.044925, 0.044924
265.600464, 119.794922, 12.216797, 219.587051, 0.045145, 0.045143
268.141998, 118.652344, 17.929688, 451.171875, 0.045343, 0.045334
256.300934, 98.349609, 16.875000, 231.305801, 0.045365, 0.045363
257.275726, 103.095703, 13.886719, 159.598221, 0.045371, 0.045367
254.551697, 100.722656, 11.337891, 374.441956, 0.045576, 0.045582
266.146667, 113.027344, 19.951172, 164.062500, 0.045591, 0.045588
274.081238, 126.914063, 20.390625, 272.600433, 0.045807, 0.045805
258.645020, 106.787109, 12.656250, 284.598206, 0.046028, 0.046030
250.668045, 107.666016, -2.636719, 470.424103, 0.046246, 0.046243
261.229248, 119.970703, 4.130859, 602.678589, 0.046458, 0.046460
267.689880, 121.816406, 13.974609, 205.357147, 0.046474, 0.046473
256.798737, 114.345703, 1.757813, 688.616089, 0.046685, 0.046662
259.964630, 120.585938, 1.230469, 593.191956, 0.046891, 0.046885
273.885132, 128.496094, 18.457031, 306.640625, 0.046918, 0.046909
242.030960, 94.394531, -4.921875, 408.761169, 0.047122, 0.047117
262.159027, 110.126953, 15.644531, 188.616074, 0.047140, 0.047135
213.651993, 72.509766, -34.277344, 549.665161, 0.047311, 0.047316
252.822342, 109.951172, -1.054688, 458.984375, 0.047347, 0.047345
263.273926, 113.906250, 13.886719, 211.495529, 0.047582, 0.047577
263.696594, 114.873047, 13.710938, 157.366074, 0.048037, 0.048034
267.635559, 118.037109, 17.666016, 404.575897, 0.048677, 0.048681
261.701599, 112.324219, 12.656250, 339.843750, 0.048906, 0.048892
282.107574, 132.626953, 29.179688, 570.591492, 0.049530, 0.049541
261.523041, 105.205078, 19.423828, 262.555817, 0.049571, 0.049563
268.934937, 120.234375, 17.753906, 281.808044, 0.049791, 0.049791
272.508911, 128.320313, 16.171875, 493.582581, 0.050007, 0.050014
238.379166, 97.119141, -14.238281, 649.274536, 0.050207, 0.050215
273.056427, 125.156250, 20.302734, 378.069183, 0.050234, 0.050231
